EMPRESA|ANIO|FECHA|CODIGO_CLIENTE|RAZON_SOCIAL|REFERENCIA|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|VENTAS|PRECIO_MEDIO_COMPRA|MARGEN_ESTIMADO|TIPO_CORE|FLAG_SIN_COSTE|FLAG_MARGEN_NEGATIVO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA|FLAG_LINEA_NEGATIVA|REFE_MAESTRO|DESCRIPCION_MAESTRO|CODIGO_FAMILIA_MAESTRO|FAMILIA_MAESTRO|DESUSO_MAESTRO|MAESTRO_N_DUP|FLAG_REF_NO_EXISTE_MAESTRO|FLAG_MAESTRO_DUPLICADO|FLAG_ARTICULO_DESUSO_VENDIDO|FLAG_FAMILIA_DISTINTA_VENTA_MAESTRO
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|21003800|DERGEL SO-GEL DE MANOS S/O|02|JABONES Y PASTA LAVAMANOS|192.0000000000000|0.8330180000000000|125.3585600000000|CORE|0|0|0|0|0|21003800,,|DERGEL SO-GEL DE MANOS S/O|02|JABONES Y PASTA LAVAMANOS|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|33013800|TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|630.0000000000000|1.300000000000000|435.0000000000000|CORE|0|0|0|0|0|33013800,,|TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|91004500|CEPILLO - ESCOBA PERLA|09|PROD. Y ACCESORIOS PARA LIMPIEZA|100.8000000000000|1.112530000000000|47.39856000000000|CORE|0|0|0|0|0|91004500,,|CEPILLO - ESCOBA PERLA|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|91045200|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|72.00000000000000|0.6400000000000000|41.28000000000000|CORE|0|0|0|0|0|91045200,,|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|91104400|PALO METALICO DOBLE ROSCA 1'40 ROJO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|33.60000000000000|0.5300000000000000|20.88000000000000|CORE|0|0|0|0|0|91104400,,|PALO METALICO DOBLE ROSCA 1'40|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|91154001A|ROLLO BOLSA BASURA 85X105 AMARILLA C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|240.0000000000000|0.8450920000000000|104.7852800000000|CORE|0|0|0|0|0|91154001A,,|ROLLO BOLSA BASURA 85X105 COLOR C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|91164001|ROLLO BOLSA BASURA DOMESTICA 52X60 C/20|09|PROD. Y ACCESORIOS PARA LIMPIEZA|78.00000000000000|0.3470000000000000|36.36000000000000|CORE|0|0|0|0|0|91164001,,|ROLLO BOLSA BASURA DOMESTICA 52X60 C/20|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|74|HORTICHUELAS, S.A.T.|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|140.8000000000000|1.024000000000000|50.68800000000002|CORE|0|0|0|0|0|92015403,,|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|95|AGRICULTORES DEL SURESTE, S.A.T.|33073802|ACTIV CLOR - LIMPIADOR DETERGENTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|278.4000000000000|0.9520850000000000|186.9998400000000|CORE|0|0|0|0|0|33073802,,|ACTIV CLOR - LIMPIADOR DETERGENTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|95|AGRICULTORES DEL SURESTE, S.A.T.|71113300|SILICHEMI - ABRILLANTADOR ANTIADHERENTE|07|AEROSOLES|85.20000000000000|2.950000000000000|49.80000000000000|CORE|0|0|0|0|0|71113300,,|SILICHEMI - ABRILLANTADOR ANTIADHERENTE|07|AEROSOLES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|446|AGRO IRIS, S.A.T.|81004018|PACK HIGIENICO INDUSTRIAL PASTA LAMIFLOR C/18|08|CELULOSA-LINEA BLANCA|576.4000000000000|9.585120000000000|154.6547200000000|CORE|0|0|0|0|0|81004018,,|PACK HIGIENICO INDUSTRIAL PASTA LAMIFLOR C/18|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|446|AGRO IRIS, S.A.T.|83014000|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|736.0000000000000|13.24000000000000|206.4000000000000|CORE|0|0|0|0|0|83014000,,|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|453|MALENO Y TORRES EXPORTACION, S.L.|81004018|PACK HIGIENICO INDUSTRIAL PASTA LAMIFLOR C/18|08|CELULOSA-LINEA BLANCA|31.20000000000000|9.585120000000000|12.02976000000000|CORE|0|0|0|0|0|81004018,,|PACK HIGIENICO INDUSTRIAL PASTA LAMIFLOR C/18|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|453|MALENO Y TORRES EXPORTACION, S.L.|83003203|BOBINA PAPEL MECANICO ECO-GOFRADA DC C/2|08|CELULOSA-LINEA BLANCA|100.8000000000000|4.971124000000000|41.14651200000000|CORE|0|0|0|0|0|83003203,,|BOBINA PAPEL MECANICO ECO-GOFRADA DC C/2|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|453|MALENO Y TORRES EXPORTACION, S.L.|83014000|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|291.6000000000000|13.24000000000000|132.7200000000000|CORE|0|0|0|0|0|83014000,,|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|453|MALENO Y TORRES EXPORTACION, S.L.|91154001|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|48.00000000000000|0.7333600000000000|18.66560000000000|CORE|0|0|0|0|0|91154001,,|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|612|ONDUSPAN, S.A.|66000005|PINTURA EPOXI SUELOS ROJO 3011 16:4|06|PINTURAS Y DISOLVENTES|512.0000000000000|8.092841999999999|188.2863200000001|CORE|0|0|0|0|0|66000005,,|PINTURA EPOXI SUELOS DOS COMPONENTES 20:5|06|PINTURAS Y DISOLVENTES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|11033800|ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|37.00000000000000|1.490000000000000|22.10000000000000|CORE|0|0|0|0|0|11033800,,|ZOSY D/DESENGRASANTE INDUST.CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|14001700|GLASWIPE - LIMPIACRISTALES PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|27.00000000000000|1.301448000000000|13.98552000000000|CORE|0|0|0|0|0|14001700,,|GLASWIPE - LIMPIACRISTALES PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|81004618|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|94.20000000000000|10.97391100000000|28.35653400000001|CORE|0|0|0|0|0|81004618,,|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|81004618|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|157.0000000000000|10.97391100000000|47.26089000000000|CORE|0|0|0|0|0|81004618,,|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|82003206|BOBINA SECAMANOS MECHA PASTA LAMINADO C/6|08|CELULOSA-LINEA BLANCA|88.20000000000000|1.712005000000000|26.56782000000001|CORE|0|0|0|0|0|82003206,,|BOBINA SECAMANOS MECHA PASTA LAMINADO C/6|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|82003206|BOBINA SECAMANOS MECHA PASTA LAMINADO C/6|08|CELULOSA-LINEA BLANCA|147.0000000000000|1.712005000000000|44.27970000000001|CORE|0|0|0|0|0|82003206,,|BOBINA SECAMANOS MECHA PASTA LAMINADO C/6|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|91045200|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|7.000000000000000|0.6400000000000000|3.800000000000000|CORE|0|0|0|0|0|91045200,,|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|91154000|ROLLO BOLSA BASURA 85X110 BD C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|42.00000000000000|0.7487230000000000|19.53831000000000|CORE|0|0|0|0|0|91154000,,|ROLLO BOLSA BASURA 85X110 BD C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|38.40000000000000|1.024000000000000|13.82400000000000|CORE|0|0|0|0|0|92015403,,|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|669|INVER, S.A.T. 6015|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|19.20000000000000|1.024000000000000|6.911999999999999|CORE|0|0|0|0|0|92015403,,|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|671|JOSE Y PACO, S.L.|32023900|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|168.0000000000000|3.134838000000000|105.3032400000000|CORE|0|0|0|0|0|32023900,,|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|671|JOSE Y PACO, S.L.|33073802|ACTIV CLOR - LIMPIADOR DETERGENTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|249.6000000000000|0.9520850000000000|158.1998400000000|CORE|0|0|0|0|0|33073802,,|ACTIV CLOR - LIMPIADOR DETERGENTE CLORADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|671|JOSE Y PACO, S.L.|8100ZZ36|PACK HIGIENICO ENGARZADO ZZ PASTA C/36X200|08|CELULOSA-LINEA BLANCA|193.8000000000000|20.84781100000000|68.71313400000001|CORE|0|0|0|0|0|8100ZZ36,,|PACK HIGIENICO ENGARZADO ZZ PASTA C/36X200|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|671|JOSE Y PACO, S.L.|84014000|TOALLA TISU ZZ - CAJA 20 PAQ. 200 SERV.|08|CELULOSA-LINEA BLANCA|51.40000000000000|16.90754200000000|17.58491600000000|CORE|0|0|0|0|0|84014000,,|TOALLA TISU ZZ - CAJA 20 PAQ. 200 SERV.|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|11023800|CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|93.00000000000000|0.8000000000000000|69.00000000000000|CORE|0|0|0|0|0|11023800,,|CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|13043800|BRINET BQ - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|88.00000000000000|0.7741820000000000|57.03272000000000|CORE|0|0|0|0|0|13043800,,|BRINET BQ - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|14001700|GLASWIPE - LIMPIACRISTALES PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|54.00000000000000|1.301448000000000|27.97104000000000|CORE|0|0|0|0|0|14001700,,|GLASWIPE - LIMPIACRISTALES PERFUMADO|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|21003800|DERGEL SO-GEL DE MANOS S/O|02|JABONES Y PASTA LAVAMANOS|42.00000000000000|0.8330180000000000|25.33964000000000|CORE|0|0|0|0|0|21003800,,|DERGEL SO-GEL DE MANOS S/O|02|JABONES Y PASTA LAVAMANOS|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|32023900|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|336.0000000000000|3.134838000000000|210.6064800000000|CORE|0|0|0|0|0|32023900,,|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|81004618|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|62.80000000000000|10.97391100000000|18.90435600000000|CORE|0|0|0|0|0|81004618,,|PACK HIGIENICO INDUSTRIAL PASTA PLUS C/18 ROLLOS|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|82003206LF|BOBINA SECAMANOS MECHA PASTA LAMIFLOR C/6|08|CELULOSA-LINEA BLANCA|115.2000000000000|1.417188000000000|47.17497600000000|CORE|0|0|0|0|0|82003206LF,,|BOBINA SECAMANOS MECHA PASTA LAMIFLOR C/6|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|83014000|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|194.4000000000000|13.24000000000000|88.48000000000000|CORE|0|0|0|0|0|83014000,,|BOBINA TISSUE SECO T-70 GOFRADA C/2|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|91045200|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|33.60000000000000|0.6400000000000000|18.24000000000000|CORE|0|0|0|0|0|91045200,,|RECOGEDOR PLASTICO ANTIVUELCO C/PALO|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|91064400|FREGONA ALGODON BLANCA EXTRA R-109|09|PROD. Y ACCESORIOS PARA LIMPIEZA|60.00000000000000|0.4880000000000000|30.72000000000000|CORE|0|0|0|0|0|91064400,,|FREGONA ALGODON BLANCA EXTRA R-109|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|91144400|ROLLO ESTROPAJO VERDE 6 Mts.|09|PROD. Y ACCESORIOS PARA LIMPIEZA|8.699999999999999|4.338000000000000|4.361999999999999|CORE|0|0|0|0|0|91144400,,|ROLLO ESTROPAJO VERDE 6 Mts.|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|91154001|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|144.0000000000000|0.7441520000000000|54.70175999999999|CORE|0|0|0|0|0|91154001,,|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|91164001|ROLLO BOLSA BASURA DOMESTICA 52X60 C/20|09|PROD. Y ACCESORIOS PARA LIMPIEZA|36.00000000000000|0.3470000000000000|15.18000000000000|CORE|0|0|0|0|0|91164001,,|ROLLO BOLSA BASURA DOMESTICA 52X60 C/20|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|19.20000000000000|1.024000000000000|6.911999999999999|CORE|0|0|0|0|0|92015403,,|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|732|TOLEDANO HORTICOLA, S.L.|94003801|AIRGEN FRESH HOME - AMBIENTADOR HIGIENIZANTE|09|PROD. Y ACCESORIOS PARA LIMPIEZA|102.0000000000000|2.890000000000000|44.20000000000000|CORE|0|0|0|0|0|94003801,,|AIRGEN  - AMBIENTADOR HIGIENIZANTE|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.||**Siguiente linea MUESTRA SIN CARGO**|||0.0000000000000000|0.0000000000000000|0.0000000000000000|NO_CORE|1|0|0|1|0|||||||1|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|11023800|CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|124.0000000000000|0.8000000000000000|92.00000000000000|CORE|0|0|0|0|0|11023800,,|CHEMGRAS DS - DESENGRASANTE INDUSTRIAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|13063800|BRINET AML - LIMPIADOR AMONIACAL PINO|01|DESENGRASANTES Y LIMPIADORES GENERALES|72.00000000000000|0.7300000000000000|42.80000000000000|CORE|0|0|0|0|0|13063800,,|BRINET AML - LIMPIADOR AMONIACAL PINO|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|61000305|DISOLVENTE UNIVERSAL ENV.5|06|PINTURAS Y DISOLVENTES|15.50000000000000|1.600000000000000|7.500000000000000|CORE|0|0|0|0|0|61000305,,|DISOLVENTE UNIVERSAL ENV.5|06|PINTURAS Y DISOLVENTES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|63000001|PINTURA PLASTICA MATE ACRILICO ENV.13 LT.|06|PINTURAS Y DISOLVENTES|39.80000000000000|22.52300000000000|17.27700000000000|CORE|0|0|0|0|0|63000001,,|PINTURA PLASTICA MATE ACRILICO ENV.13 LT.|06|PINTURAS Y DISOLVENTES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|67000605|ESMALTE MARTELE VERDE MEDIO|06|PINTURAS Y DISOLVENTES|155.0000000000000|2.728600000000000|127.7140000000000|CORE|0|0|0|0|0|67000605,,|ESMALTE MARTELE VERDE MEDIO|06|PINTURAS Y DISOLVENTES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|67000605|ESMALTE MARTELE VERDE MEDIO ENV.750|06|PINTURAS Y DISOLVENTES|0.0000000000000000|2.728600000000000|-2.728600000000000|CORE|0|1|0|0|0|67000605,,|ESMALTE MARTELE VERDE MEDIO|06|PINTURAS Y DISOLVENTES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|71233301|PINTURA AEROSOL 200 ML NEGRO BRILLO|07|AEROSOLES|15.20000000000000|1.521000000000000|9.116000000000000|CORE|0|0|0|0|0|71233301,,|PINTURA AEROSOL 200 ML|07|AEROSOLES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|81014001|PACK HIGIENICO DOMESTICO GC-300 PASTA C/12|08|CELULOSA-LINEA BLANCA|32.00000000000000|2.434245000000000|12.52604000000000|CORE|0|0|0|0|0|81014001,,|PACK HIGIENICO DOMESTICO GC-300 PASTA C/12|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|81014001|PACK HIGIENICO DOMESTICO GC-300 PASTA C/12|08|CELULOSA-LINEA BLANCA|64.00000000000000|2.434245000000000|25.05208000000000|CORE|0|0|0|0|0|81014001,,|PACK HIGIENICO DOMESTICO GC-300 PASTA C/12|08|CELULOSA-LINEA BLANCA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|92015403|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|70.40000000000001|1.024000000000000|25.34400000000001|CORE|0|0|0|0|0|92015403,,|BOTELLA LEJIA APTA ENV. 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|741|FRUVA IMPORT-EXPORT, S.L.|95003225|DETERGENTE LAVADORA PROFESIONAL SACO 10KG.|09|PROD. Y ACCESORIOS PARA LIMPIEZA|31.80000000000000|8.600000000000000|14.60000000000000|CORE|0|0|0|0|0|95003225,,|DETERGENTE LAVADORA PROFESIONAL SACO 10KG.|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|796|FRESH EUROPEAN CARGO S.L.|32023900|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|168.0000000000000|3.134838000000000|105.3032400000000|CORE|0|0|0|0|0|32023900,,|V-80 / ACEITE LIGERO ATOXICO APTO IND. ALIMENTARIA|03|PROD. ESPECIALES INDUST. ALIMENTARIA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|796|FRESH EUROPEAN CARGO S.L.|91154001|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|96.00000000000000|0.7333600000000000|37.33120000000000|CORE|0|0|0|0|0|91154001,,|ROLLO BOLSA BASURA 85X105 C/10|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|796|FRESH EUROPEAN CARGO S.L.|92000004|BOTELLA AGUA DESTILADA 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|12.00000000000000|0.8550000000000000|5.160000000000000|CORE|0|0|0|0|0|92000004,,|BOTELLA AGUA DESTILADA 4 Lts. C/4|09|PROD. Y ACCESORIOS PARA LIMPIEZA|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|798|ALMAGRO NATURE, S.L.||**Siguiente línea sin cargo**|||0.0000000000000000|0.0000000000000000|0.0000000000000000|NO_CORE|1|0|0|1|0|||||||1|0|0|0
CHEMIE|2024|2024-01-02|798|ALMAGRO NATURE, S.L.|11083800|CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|40.00000000000000|0.8000000000000000|24.00000000000000|CORE|0|0|0|0|0|11083800,,|CHEMGRAS AS - DESENGRASANTE USO GENERAL|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|798|ALMAGRO NATURE, S.L.|12003801|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|36.00000000000000|0.7700000000000000|20.60000000000000|CORE|0|0|0|0|0|12003801,,|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|798|ALMAGRO NATURE, S.L.|12003801|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|36.00000000000000|0.7700000000000000|20.60000000000000|CORE|0|0|0|0|0|12003801,,|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
CHEMIE|2024|2024-01-02|798|ALMAGRO NATURE, S.L.|12003801|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|36.00000000000000|0.7700000000000000|20.60000000000000|CORE|0|0|0|0|0|12003801,,|CHEMGRAS ASF - DESENGRASANTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|F|1.0|0|0|0|0
